0;Evgenia MEDVEDEVA;RUS;233,41
1;Kaetlyn OSMOND;CAN;218,13
2;Gabrielle DALEMAN;CAN;213,52
3;Karen CHEN;USA;199,29
4;Mai MIHARA;JPN;197,88
5;Carolina KOSTNER;ITA;196,83
6;Ashley WAGNER;USA;193,54
7;Maria SOTSKOVA;RUS;192,2
8;Elizabet TURSYNBAEVA;KAZ;191,99
9;Dabin CHOI;KOR;191,11
10;Wakaba HIGUCHI;JPN;188,05
11;Mariah BELL;USA;187,23
12;Anna POGORILAYA;RUS;183,37
13;Xiangning LI;CHN;175,37
14;Loena HENDRICKX;BEL;172,82
15;Rika HONGO;JPN;169,83
16;Nicole RAJICOVA;SVK;165,55
17;Laurine LECAVELIER;FRA;162,99
18;Nicole SCHOTT;GER;161,41
19;Ivett TOTH;HUN;160,77
20;Zijun LI;CHN;159,8
21;Angelina KUCHVALSKA;LAT;155,02
22;Anastasia GALUSTYAN;ARM;153,47
23;Kailani CRAINE;AUS;152,94
24;Shuran YU;SGP;52,87
25;Joshi HELGESSON;SWE;52,07
26;Helery HÄLVIN;EST;51,94
27;Amy LIN;TPE;51,86
28;Emmi PELTONEN;FIN;50,74
29;Isadora WILLIAMS;BRA;50,65
30;Kerstin FRANK;AUT;50,54
31;Natasha MCKAY;GBR;50,1
32;Yasmine Kimiko YAMADA;SUI;47,86
33;Anne Line GJERSEM;NOR;46,99
34;Anna KHNYCHENKOVA;UKR;46,98
35;Dasa GRM;SLO;46,63
36;Michaela-Lucie HANZLIKOVA;CZE;32,21

